Gene	
"Lamc2"	0.303859241728275
"Itgb6"	0.208753460092083
"Lamb3"	0.186518600374193
"Lamc3"	-0.186988739959328
"Itga8"	-0.193858507381125
"Itgb1"	-0.196169023478173
"Itgav"	-0.197399912123129
"Itgb8"	-0.225278581451273
"Lamb2"	-0.228592142050538
"Col6a5"	-0.252240774693251
"Lamc1"	-0.259470102460352
"Thbs3"	-0.260287795189706
"Itga4"	-0.26178706943865
"Itga1"	-0.29761754199325
"Tnxb"	-0.297766139913079
"Vwf"	-0.319761389614886
"Itga5"	-0.352151735545926
"Itga10"	-0.366239531354056
"Itga11"	-0.368802832316523
"Fn1"	-0.3715793664477
"Col6a1"	-0.383091428798631
"Col6a2"	-0.385860825907063
"Cd44"	-0.386951253792691
"Col4a2"	-0.393268738772452
"Itga9"	-0.397269223293364
"Col4a1"	-0.401794260138309
"Tnc"	-0.452335631970941
"Col1a2"	-0.453581146036648
"Hspg2"	-0.476078345408213
"Thbs2"	-0.524423968101857
"Lama2"	-0.532890337204498
"Col1a1"	-0.535420258330808
"Col6a3"	-0.661649931929656
